date,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h
2020-05-15,0,0,0,0,0,0,9600,192000,163200,268800,326400,470400,288000,249600,480000,604800,403200,422400,48000,0,0,0,0,0
2020-05-16,0,0,0,0,0,0,19200,768000,1987200,2812800,2956800,3571200,2832000,4089600,4444800,4502400,2352000,3052800,681600,38400,0,0,0,0
2020-05-17,0,0,0,0,0,0,163200,633600,1411200,2361600,7516800,9696000,10156800,9859200,9062400,7142400,5059200,2918400,796800,28800,0,0,0,0
2020-05-18,0,0,0,0,0,0,57600,816000,2428800,2736000,3043200,6000000,8630400,8544000,2793600,1363200,1516800,691200,0,0,0,0,0,0
2020-05-19,0,0,0,0,0,28800,518400,1123200,2198400,1286400,1766400,4473600,8899200,6758400,4147200,1286400,2428800,2169600,537600,57600,0,0,0,0
2020-05-20,0,0,0,0,0,28800,825600,3187200,5155200,4665600,6883200,10636800,11088000,11049600,9926400,7584000,5328000,3456000,787200,48000,0,0,0,0
2020-05-21,0,0,0,0,0,105600,969600,2697600,5932800,7968000,9475200,10310400,10464000,9936000,9302400,7488000,5443200,2688000,796800,67200,0,0,0,0
2020-05-22,0,0,0,0,0,48000,931200,2716800,5328000,6787200,8534400,10032000,10588800,10425600,9465600,7900800,5616000,2947200,787200,48000,0,0,0,0
2020-05-23,0,0,0,0,0,38400,364800,1459200,2841600,2956800,2860800,3945600,4800000,6979200,5798400,4992000,4483200,2736000,864000,9600,0,0,0,0
2020-05-24,0,0,0,0,0,76800,748800,2064000,4540800,3321600,3916800,4281600,2160000,2659200,1804800,2227200,758400,931200,307200,0,0,0,0,0
2020-05-25,0,0,0,0,0,9600,499200,1852800,2966400,3696000,5001600,5433600,5203200,6019200,5980800,5395200,4857600,3052800,1008000,19200,0,0,0,0
2020-05-26,0,0,0,0,0,9600,192000,1132800,1276800,2371200,2131200,5308800,9494400,10137600,9542400,7843200,4780800,2937600,950400,67200,0,0,0,0
2020-05-27,0,0,0,0,0,0,979200,2380800,4416000,7699200,9033600,10012800,10022400,10339200,9292800,8313600,6048000,2937600,883200,38400,0,0,0,0
2020-05-28,0,0,0,0,0,28800,758400,2390400,5030400,7171200,9206400,10224000,10752000,10579200,9590400,7900800,5596800,2908800,700800,48000,0,0,0,0
2020-05-29,0,0,0,0,0,67200,854400,2832000,5500800,7276800,7776000,8457600,9312000,8620800,8208000,5750400,4512000,2409600,691200,38400,0,0,0,0
2020-05-30,0,0,0,0,0,19200,614400,1728000,2803200,3696000,4521600,4867200,5328000,4579200,4185600,5212800,2448000,1305600,374400,0,0,0,0,0
2020-05-31,0,0,0,0,0,0,316800,1680000,2736000,3379200,3849600,5347200,4569600,5616000,4464000,2524800,2361600,1497600,393600,0,0,0,0,0
2020-06-01,0,0,0,0,0,9600,326400,1200000,1603200,2044800,2870400,8976000,11116800,10761600,9792000,8208000,5942400,3283200,931200,86400,0,0,0,0
2020-06-02,0,0,0,0,0,0,412800,1987200,5433600,7968000,8860800,5664000,10233600,9004800,7804800,7008000,4876800,2784000,902400,86400,0,0,0,0
2020-06-03,0,0,0,0,0,0,96000,566400,1267200,2371200,1766400,4022400,4118400,4800000,3801600,3926400,3014400,1814400,470400,0,0,0,0,0
2020-06-04,0,0,0,0,0,38400,604800,1708800,3168000,5664000,8601600,9542400,10041600,9254400,8764800,7190400,5356800,3110400,1113600,124800,0,0,0,0
2020-06-05,0,0,0,0,0,0,547200,1468800,2448000,4713600,6873600,7584000,8476800,7862400,7536000,7094400,4022400,2092800,729600,38400,0,0,0,0
2020-06-06,0,0,0,0,0,19200,604800,2121600,3350400,5001600,8006400,8937600,9062400,8707200,7516800,5952000,4656000,2592000,835200,9600,0,0,0,0
2020-06-07,0,0,0,0,0,38400,883200,2544000,5040000,7065600,8563200,9340800,9561600,9427200,8476800,7123200,5184000,2822400,998400,115200,0,0,0,0
